stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066238.255503,10,-0.220698,-0.041762,0.576547,0.517105,0.668585,-0.269432,0.461522,-0.220744,-0.041773,0.576519,0.517314,0.668200,-0.268703,0.462270,0.000055,0.129903,0.000000,1.065496,0.938530
1767066238.289134,10,-0.220653,-0.041699,0.576429,0.516810,0.667994,-0.269916,0.462425,-0.220609,-0.041639,0.576315,0.516452,0.667276,-0.270502,0.463518,0.000135,0.169341,0.000000,1.151106,0.868730
1767066238.322513,10,-0.220560,-0.041821,0.576195,0.517421,0.668246,-0.268274,0.462333,-0.220472,-0.041938,0.575972,0.518161,0.668550,-0.266277,0.462219,0.000267,0.246819,0.000000,1.181803,0.846165
1767066238.356023,10,-0.219996,-0.041731,0.575843,0.515906,0.669412,-0.270060,0.461298,-0.219456,-0.041646,0.575506,0.514062,0.670820,-0.272226,0.460037,0.000641,0.391370,0.000000,1.159785,0.862229
1767066238.389438,10,-0.219656,-0.041875,0.575094,0.516215,0.670133,-0.268747,0.460671,-0.219331,-0.042013,0.574377,0.516589,0.671007,-0.267151,0.459908,0.000798,0.230136,0.000000,1.293839,0.772893
1767066238.422693,10,-0.219554,-0.041892,0.575002,0.516079,0.670383,-0.268992,0.460317,-0.219457,-0.041907,0.574914,0.515914,0.670687,-0.269289,0.459886,0.000132,0.071955,0.000000,1.104492,0.905394
1767066238.456323,10,-0.219581,-0.041795,0.575402,0.515471,0.670292,-0.270336,0.460343,-0.219606,-0.041703,0.575783,0.514732,0.670180,-0.271967,0.460373,0.000393,0.205558,0.000000,1.215571,0.822659
1767066238.489669,10,-0.219301,-0.041833,0.574970,0.514924,0.671076,-0.270123,0.459939,-0.219033,-0.041869,0.574556,0.514258,0.672027,-0.269863,0.459448,0.000494,0.147565,0.000000,1.212497,0.824745
1767066238.523175,10,-0.219523,-0.041759,0.575296,0.515341,0.670611,-0.270134,0.460144,-0.219735,-0.041688,0.575608,0.515847,0.670046,-0.270147,0.460392,0.000384,0.091465,0.000000,1.271801,0.786286
1767066238.556673,10,-0.219976,-0.041762,0.575892,0.516007,0.669981,-0.269751,0.460539,-0.220408,-0.041766,0.576461,0.516815,0.669216,-0.269285,0.461018,0.000714,0.148674,0.000000,1.089079,0.918207
1767066238.589929,10,-0.220190,-0.041733,0.576113,0.516105,0.669507,-0.270092,0.460919,-0.220396,-0.041704,0.576325,0.516224,0.668930,-0.270507,0.461380,0.000296,0.098105,0.000000,1.168996,0.855435
1767066238.623572,10,-0.220554,-0.041585,0.577072,0.515469,0.669103,-0.271589,0.461337,-0.220901,-0.041444,0.577986,0.514696,0.668610,-0.273403,0.461843,0.000988,0.240017,0.000000,1.180850,0.846847
1767066238.656897,10,-0.220644,-0.041685,0.576788,0.516354,0.668660,-0.270222,0.461792,-0.220730,-0.041781,0.576516,0.517428,0.668119,-0.268560,0.462343,0.000301,0.243467,0.000000,1.150867,0.868910
1767066238.690420,10,-0.220707,-0.041712,0.576808,0.516809,0.668760,-0.270286,0.461102,-0.220768,-0.041738,0.576828,0.517360,0.668879,-0.270362,0.460264,0.000068,0.116103,0.000000,1.195462,0.836496
1767066238.723938,10,-0.220571,-0.041670,0.576758,0.516394,0.669082,-0.271046,0.460651,-0.220440,-0.041630,0.576711,0.515891,0.669473,-0.271969,0.460103,0.000145,0.143064,0.000000,1.064356,0.939535
1767066238.757176,10,-0.220706,-0.041805,0.576580,0.517541,0.668636,-0.269234,0.461075,-0.220835,-0.041934,0.576409,0.518933,0.668088,-0.267025,0.461589,0.000250,0.311367,0.000000,1.150762,0.868990
1767066238.790801,10,-0.220569,-0.041759,0.576481,0.516886,0.668759,-0.269929,0.461225,-0.220439,-0.041715,0.576388,0.516092,0.668907,-0.270771,0.461407,0.000166,0.135350,0.000000,1.107869,0.902634
1767066238.824170,10,-0.220358,-0.041803,0.576181,0.517031,0.669050,-0.269397,0.460951,-0.220155,-0.041845,0.575893,0.517208,0.669404,-0.268751,0.460617,0.000354,0.094853,0.000000,1.110648,0.900376
1767066238.857673,10,-0.219914,-0.041869,0.575204,0.516857,0.669416,-0.268528,0.461122,-0.219490,-0.041932,0.574272,0.516645,0.669860,-0.267471,0.461329,0.001026,0.135623,0.000000,1.126432,0.887759
