sample_id,robot_name,robot_id,pose_idx,stamp,cam_frame,cube_frame,cam_cube_tx,cam_cube_ty,cam_cube_tz,cam_cube_qx,cam_cube_qy,cam_cube_qz,cam_cube_qw,base_frame,tool_frame,base_tool_tx,base_tool_ty,base_tool_tz,base_tool_qx,base_tool_qy,base_tool_qz,base_tool_qw,world_frame,camera_frame,world_cam_tx,world_cam_ty,world_cam_tz,world_cam_qx,world_cam_qy,world_cam_qz,world_cam_qw,world_cube_tx,world_cube_ty,world_cube_tz,world_cube_qx,world_cube_qy,world_cube_qz,world_cube_qw,num_faces,inliers,pos_err_rms,ang_err_rms_deg,note
0,jaka1,1,0,1767344316.698134,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.219509,-0.036665,0.602315,0.453858,0.626968,-0.342781,0.532376,Link_0,Link_6,-0.441012,-0.015644,0.363936,0.265927,-0.265277,0.811413,0.447794,world,zed2i_left_camera_optical_frame,-0.013836,0.487569,0.691741,0.880910,0.000965,0.058577,0.469643,-0.167178,-0.002694,0.306462,0.645071,0.623510,0.422065,-0.130307,1.200000,1.200000,0.000615,0.175738,A1
1,jaka1,1,1,1767344327.977421,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.219464,-0.027727,0.565832,0.567625,0.707386,-0.175445,0.382917,Link_0,Link_6,-0.440911,-0.015424,0.374443,0.036242,-0.162102,0.880243,0.444501,world,zed2i_left_camera_optical_frame,-0.014573,0.487529,0.692215,0.880973,0.000862,0.059006,0.469472,-0.171730,0.022551,0.334169,0.561933,0.520483,0.562926,-0.310551,1.000000,1.000000,0.000295,0.056258,A2
2,jaka1,1,2,1767344339.445662,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.236688,-0.039564,0.594804,0.541547,0.594872,-0.391296,0.446924,Link_0,Link_6,-0.440863,-0.015450,0.363928,0.285193,-0.139096,0.852348,0.415716,world,zed2i_left_camera_optical_frame,-0.013919,0.487407,0.692391,0.881047,0.000679,0.058647,0.469379,-0.185000,0.004314,0.306735,0.612799,0.656034,0.366287,-0.244807,2.000000,2.000000,0.001272,0.212626,A3
3,jaka1,1,3,1767344349.987392,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.204077,-0.027349,0.600304,0.403624,0.679394,-0.232365,0.567026,Link_0,Link_6,-0.441098,-0.015767,0.364091,0.167880,-0.354960,0.787305,0.475364,world,zed2i_left_camera_optical_frame,-0.009918,0.488574,0.691513,0.880797,0.001693,0.056145,0.470150,-0.151016,-0.004617,0.317862,0.650661,0.547705,0.520314,-0.077028,1.000000,1.000000,0.000548,0.225064,A4
4,jaka1,1,4,1767344362.980043,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.236437,-0.067468,0.604384,0.643478,0.495408,-0.295802,0.502999,Link_0,Link_6,-0.420718,-0.035520,0.374096,0.236440,-0.185798,0.918307,0.257465,world,zed2i_left_camera_optical_frame,-0.012366,0.488262,0.691295,0.880723,0.000981,0.057784,0.470092,-0.181601,0.012269,0.278348,0.716580,0.531083,0.325697,-0.313663,1.000000,1.000000,0.000596,0.320414,B1
5,jaka1,1,5,1767344378.539851,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.206318,-0.006410,0.562751,0.328799,0.783953,-0.268410,0.453061,Link_0,Link_6,-0.461154,0.004410,0.374238,0.135765,-0.268312,0.723460,0.621435,world,zed2i_left_camera_optical_frame,-0.014839,0.487441,0.691977,0.880934,0.000535,0.059199,0.469521,-0.160382,0.013870,0.354569,0.506942,0.624242,0.591232,-0.061459,2.000000,2.000000,0.000516,0.063844,B2
6,jaka1,1,6,1767344395.157079,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.252333,-0.080865,0.592105,0.778226,0.377459,-0.277650,0.418089,Link_0,Link_6,-0.410495,-0.045290,0.384198,0.227514,-0.066559,0.965058,0.111669,world,zed2i_left_camera_optical_frame,-0.013015,0.488470,0.690406,0.880515,0.001116,0.058108,0.470443,-0.198168,0.028790,0.271824,0.712001,0.467736,0.225166,-0.472840,1.000000,1.000000,0.000655,0.250824,B3
7,jaka1,1,7,1767344412.656818,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.196496,0.016552,0.534490,0.205987,0.877768,-0.158927,0.402287,Link_0,Link_6,-0.471283,0.014506,0.384311,0.006930,-0.310140,0.623110,0.717982,world,zed2i_left_camera_optical_frame,-0.014493,0.486308,0.692536,0.881269,0.000491,0.059010,0.468916,-0.154685,0.024275,0.390152,0.399239,0.564010,0.722664,0.016057,1.000000,1.000000,0.000332,0.082141,B4
8,jaka1,1,8,1767344429.403907,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.267874,-0.074017,0.593187,0.597309,0.552215,-0.371027,0.447905,Link_0,Link_6,-0.400637,-0.015444,0.384142,0.271692,-0.131032,0.887246,0.349012,world,zed2i_left_camera_optical_frame,-0.014219,0.486697,0.692053,0.881114,0.000630,0.058837,0.469230,-0.214378,0.022575,0.275358,0.642206,0.621459,0.338444,-0.294645,1.000000,1.000000,0.000489,0.154488,C1
9,jaka1,1,9,1767344446.869979,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.182163,-0.020983,0.570632,0.485371,0.618465,-0.254972,0.562943,Link_0,Link_6,-0.481138,-0.015677,0.383910,0.193191,-0.312638,0.840614,0.397872,world,zed2i_left_camera_optical_frame,-0.013318,0.486780,0.692252,0.881154,0.000693,0.058309,0.469219,-0.134112,0.016519,0.340816,0.687547,0.543557,0.457814,-0.149104,1.000000,1.000000,0.000364,0.148169,C2
