sample_id,robot_name,robot_id,pose_idx,stamp,cam_frame,cube_frame,cam_cube_tx,cam_cube_ty,cam_cube_tz,cam_cube_qx,cam_cube_qy,cam_cube_qz,cam_cube_qw,base_frame,tool_frame,base_tool_tx,base_tool_ty,base_tool_tz,base_tool_qx,base_tool_qy,base_tool_qz,base_tool_qw,world_frame,camera_frame,world_cam_tx,world_cam_ty,world_cam_tz,world_cam_qx,world_cam_qy,world_cam_qz,world_cam_qw,world_cube_tx,world_cube_ty,world_cube_tz,world_cube_qx,world_cube_qy,world_cube_qz,world_cube_qw,num_faces,inliers,pos_err_rms,ang_err_rms_deg,note
0,jaka1,1,0,1767078478.748001,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.219536,-0.036654,0.603223,0.451677,0.628616,-0.344211,0.531365,Link_0,Link_6,-0.441012,-0.015644,0.363936,0.265927,-0.265277,0.811413,0.447794,world,zed2i_left_camera_optical_frame,-0.013157,0.488403,0.691508,0.880740,0.001125,0.058139,0.470016,-0.166864,-0.002915,0.306283,0.643355,0.625478,0.422248,-0.128755,1.000000,1.000000,0.000160,0.108624,A1
1,jaka1,1,1,1767078490.215997,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.219876,-0.027682,0.566587,0.567545,0.707116,-0.175130,0.383678,Link_0,Link_6,-0.440911,-0.015424,0.374443,0.036242,-0.162102,0.880243,0.444501,world,zed2i_left_camera_optical_frame,-0.014135,0.488191,0.690982,0.880657,0.000994,0.058741,0.470098,-0.171864,0.022048,0.333261,0.562980,0.520363,0.562372,-0.309862,1.000000,1.000000,0.000608,0.083440,A2
2,jaka1,1,2,1767078501.731486,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.237285,-0.039248,0.596231,0.541090,0.592955,-0.393418,0.448160,Link_0,Link_6,-0.440863,-0.015450,0.363928,0.285193,-0.139096,0.852348,0.415716,world,zed2i_left_camera_optical_frame,-0.013421,0.488133,0.691708,0.880832,0.001263,0.058290,0.469825,-0.185098,0.003133,0.306173,0.613911,0.657226,0.362896,-0.243870,1.800000,1.800000,0.001690,0.333553,A3
3,jaka1,1,3,1767078512.418950,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.204399,-0.027394,0.601004,0.403799,0.679524,-0.231720,0.567009,Link_0,Link_6,-0.441098,-0.015767,0.364091,0.167880,-0.354960,0.787305,0.475364,world,zed2i_left_camera_optical_frame,-0.010383,0.488649,0.690927,0.880680,0.001527,0.056391,0.470341,-0.151544,-0.005262,0.316947,0.650604,0.547316,0.520813,-0.076901,1.000000,1.000000,0.000658,0.218608,A4
4,jaka1,1,4,1767078525.427702,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.237978,-0.067216,0.607281,0.643650,0.489642,-0.296991,0.507702,Link_0,Link_6,-0.420718,-0.035520,0.374096,0.236440,-0.185798,0.918307,0.257465,world,zed2i_left_camera_optical_frame,-0.011683,0.489146,0.690134,0.880405,0.001661,0.057221,0.470755,-0.182540,0.009787,0.276654,0.721474,0.529647,0.319255,-0.311488,1.000000,1.000000,0.000627,0.295651,B1
5,jaka1,1,5,1767078540.568855,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.206738,-0.006361,0.563668,0.328935,0.784167,-0.268019,0.452824,Link_0,Link_6,-0.461154,0.004410,0.374238,0.135765,-0.268312,0.723460,0.621435,world,zed2i_left_camera_optical_frame,-0.013972,0.488172,0.691058,0.880661,0.000649,0.058650,0.470102,-0.160372,0.013410,0.353908,0.507253,0.624258,0.590933,-0.061596,2.000000,2.000000,0.000355,0.088215,B2
6,jaka1,1,6,1767078557.096589,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.253516,-0.080860,0.594847,0.777971,0.374782,-0.278969,0.420090,Link_0,Link_6,-0.410495,-0.045290,0.384198,0.227514,-0.066559,0.965058,0.111669,world,zed2i_left_camera_optical_frame,-0.013884,0.488575,0.690567,0.880496,0.000986,0.058602,0.470417,-0.199401,0.026528,0.270155,0.713620,0.467940,0.222613,-0.471404,1.000000,1.000000,0.000494,0.161146,B3
7,jaka1,1,7,1767078574.372520,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.197184,0.016805,0.536125,0.204969,0.877906,-0.159233,0.402385,Link_0,Link_6,-0.471283,0.014506,0.384311,0.006930,-0.310140,0.623110,0.717982,world,zed2i_left_camera_optical_frame,-0.013970,0.488779,0.690780,0.880464,0.000527,0.058673,0.470468,-0.155050,0.024219,0.389327,0.399123,0.565463,0.721552,0.017722,1.277778,1.277778,0.000857,0.113875,B4
8,jaka1,1,8,1767078591.150450,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.268223,-0.073944,0.593732,0.597318,0.550973,-0.371729,0.448839,Link_0,Link_6,-0.400637,-0.015444,0.384142,0.271692,-0.131032,0.887246,0.349012,world,zed2i_left_camera_optical_frame,-0.014032,0.488792,0.691039,0.880501,0.000591,0.058705,0.470394,-0.214689,0.023134,0.275312,0.643614,0.621814,0.336270,-0.293311,1.000000,1.000000,0.000404,0.165990,C1
9,jaka1,1,9,1767078608.243912,zed2i_left_camera_optical_frame,cube_center_jaka1,-0.182549,-0.020835,0.571358,0.485284,0.617799,-0.255822,0.563364,Link_0,Link_6,-0.481138,-0.015677,0.383910,0.193191,-0.312638,0.840614,0.397872,world,zed2i_left_camera_optical_frame,-0.013860,0.488076,0.691879,0.880807,0.000665,0.058591,0.469837,-0.134704,0.016597,0.340720,0.687851,0.544402,0.456653,-0.148174,1.000000,1.000000,0.000289,0.101804,C2
